versiculo,degree_centrality,eigenvector_centrality,betweenness_centrality
Isaías 9:6,0.007854007854007854,0.09807278676632787,0.002400086966963593
Apocalipse 5:9,0.0057750057750057746,0.09042090164480028,0.0012962574002631727
Tito 2:14,0.006204006204006204,0.08887372828576688,0.003210874772645649
1 Pedro 2:9,0.00726000726000726,0.08364202852959278,0.0018744250508073894
Apocalipse 1:5,0.004917004917004917,0.08286907652766812,0.0014865445807830063
João 1:14,0.005082005082005082,0.0774215437261635,0.0022371483470343743
Daniel 9:24,0.005049005049005049,0.07684980730673016,0.0017027151203962668
1 Pedro 3:18,0.003828003828003828,0.07330673058393555,0.0006573737082951129
Jeremias 23:5,0.005049005049005049,0.07271659928489506,0.0014858930647702099
Isaías 49:6,0.003531003531003531,0.07067809445358988,0.00041202342433303824
João 14:6,0.00495000495000495,0.07022835254665478,0.0011853579829744798
1 João 5:20,0.004983004983004983,0.06916123984982914,0.0008676433451149378
Mateus 28:18,0.004026004026004026,0.06906010881716533,0.0005674147948597488
1 Pedro 1:3,0.00429000429000429,0.06831935611719138,0.0012540790593837592
1 Coríntios 1:30,0.005346005346005346,0.06800272249105556,0.0018540258683452675
Atos 26:18,0.006039006039006039,0.06798709744850578,0.002721665448196564
Tito 2:13,0.003234003234003234,0.06410707902540136,0.000421181169010104
Efésios 1:7,0.004059004059004059,0.06396077959685022,0.0015916123217512878
Apocalipse 11:15,0.006039006039006039,0.06394268304421187,0.0021851659901316895
João 3:16,0.003069003069003069,0.0632156756032361,0.00028390254757802567
2 Coríntios 4:6,0.00396000396000396,0.062109256435270245,0.000962519530181393
Hebreus 13:20,0.0045540045540045536,0.06093656407826913,0.001460940911967751
1 Timóteo 3:16,0.005214005214005214,0.05994409260669398,0.0022370590545925224
2 Coríntios 5:21,0.004521004521004521,0.059801369629164214,0.000638650907136487
Hebreus 1:3,0.003993003993003993,0.05962113761844503,0.0009957163688103278
Zacarias 9:9,0.004587004587004587,0.05854678508760323,0.0009896074570042697
2 Tessalonicenses 2:13,0.003828003828003828,0.05839278884883359,0.001045615310835148
Salmos 2:6,0.003696003696003696,0.05822260013218769,0.0005033541293916939
Efésios 5:2,0.004224004224004224,0.05809892099534068,0.0010870782580461274
2 Coríntios 4:4,0.00396000396000396,0.057839167631815465,0.000840461484974752
Gálatas 5:22,0.005247005247005247,0.05740962303778996,0.0014062010498605449
Efésios 1:6,0.004521004521004521,0.057135667227259386,0.0009043009720769499
Efésios 2:4,0.0034980034980034978,0.0566433372414065,0.0008779978449107874
Isaías 60:1,0.003267003267003267,0.05565856818193429,0.0006409433463426942
2 Tessalonicenses 2:16,0.003729003729003729,0.055097620258747135,0.0010293228085703947
Efésios 1:20,0.002838002838002838,0.05455797489143323,0.0004917322545599942
Salmos 110:1,0.003234003234003234,0.05398834891792825,0.00043088458302174154
Isaías 42:1,0.004158004158004158,0.05294652602885348,0.000804918468008768
Atos 20:28,0.004422004422004422,0.0524070426127319,0.0021413447304177674
Hebreus 12:2,0.005676005676005676,0.05209216548419327,0.0027313668329886184
Mateus 20:28,0.003003003003003003,0.05201270135335605,0.00045595295132167213
1 Pedro 1:22,0.00429000429000429,0.05141971539412928,0.0012941297959140027
Isaías 61:1,0.00561000561000561,0.05112217233472509,0.002397179298722487
Colossenses 1:27,0.002838002838002838,0.05075330617271339,0.00048818790548383554
1 Pedro 2:24,0.00429000429000429,0.050127769572782636,0.001618391989187534
Romanos 8:28,0.004488004488004488,0.04966090082728379,0.0013648220292211178
Gálatas 3:13,0.003696003696003696,0.04962724680191889,0.0016720293023093345
1 João 1:7,0.00363000363000363,0.04917262766103563,0.000878873882028069
João 10:28,0.003828003828003828,0.04879634862693688,0.0010242153282987204
Colossenses 1:23,0.004257004257004257,0.0482731491056289,0.0011956181750247905
Mateus 11:27,0.002706002706002706,0.04792447978695858,0.0001712528400666276
1 Pedro 3:22,0.00264000264000264,0.04762417438027862,0.0001989969782555271
João 1:1,0.002838002838002838,0.047608625683943966,0.00048249885506087105
2 Timóteo 1:9,0.002904002904002904,0.04748748511402066,0.0005512412561437928
Mateus 25:34,0.004983004983004983,0.04725683725795736,0.0024143142870870567
Tito 3:3,0.00462000462000462,0.04717851403794982,0.0010304764608507347
Hebreus 9:28,0.002805002805002805,0.047132048133198,0.0004509338549407172
Lucas 24:47,0.003927003927003927,0.0471208569141165,0.0007266377869518741
1 João 5:11,0.003003003003003003,0.046906414126403534,0.00032762510773111587
1 Pedro 5:10,0.003597003597003597,0.046720773163691075,0.000569281440705384
Hebreus 7:25,0.003696003696003696,0.04654977705992721,0.001282219260586386
2 Pedro 1:1,0.003234003234003234,0.0465321823352489,0.0008057030936449436
Efésios 3:8,0.003597003597003597,0.046388139662574684,0.001062986795468655
Salmos 22:27,0.003267003267003267,0.04607146778924332,0.0002470419499580741
1 Pedro 1:18,0.003201003201003201,0.045972557210309975,0.0012625729008395158
Apocalipse 7:9,0.003927003927003927,0.045937669745698115,0.002344314642312665
Gálatas 2:20,0.003564003564003564,0.045611356905827766,0.0006201986855880385
Isaías 7:14,0.002937002937002937,0.04512541105450266,0.001315296468559038
Tito 3:4,0.002046002046002046,0.04466471871940728,0.00013586875627468362
João 1:29,0.004026004026004026,0.044620234920618104,0.0017822106122859318
1 João 4:10,0.0015840015840015839,0.04395736097370778,0.00010571344008396143
Miquéias 7:18,0.005709005709005709,0.043925027836165455,0.0016840844361987641
Romanos 5:1,0.003663003663003663,0.043706123240791,0.0008900887435580816
Hebreus 2:14,0.003069003069003069,0.04354389416554545,0.0004437844527127872
Ezequiel 36:25,0.004389004389004389,0.04340613298659062,0.001292756083233595
Hebreus 9:14,0.004257004257004257,0.043299277424898454,0.0024450817272542156
1 João 4:9,0.002442002442002442,0.04325197005417439,0.00018517143034004103
Apocalipse 7:14,0.00363000363000363,0.043132190122760754,0.0005898030167363326
Apocalipse 17:14,0.003564003564003564,0.043023018027704814,0.001751067763364481
Apocalipse 13:8,0.002739002739002739,0.042770046089791396,0.0005925309150839324
Romanos 5:20,0.003432003432003432,0.042642465012740355,0.0010536405435102847
João 11:25,0.003333003333003333,0.04241184849762388,0.0008473128584820973
Efésios 1:17,0.003696003696003696,0.042395101585078386,0.0011599596491394387
Gênesis 3:15,0.00429000429000429,0.04238222236619851,0.0013902433905399795
João 17:2,0.002607002607002607,0.041259288908578357,0.00043042832844710166
João 1:18,0.003201003201003201,0.040881333887862116,0.0008740442558517981
Daniel 2:44,0.004158004158004158,0.04066660243454635,0.0007212345030847594
1 Coríntios 6:9,0.004521004521004521,0.040647722304594784,0.002261008663490165
Isaías 57:15,0.005808005808005808,0.04058749877816068,0.0031572214199607476
1 Pedro 1:2,0.003828003828003828,0.0405371639550969,0.0017020662416353178
Isaías 53:10,0.004653004653004653,0.04049260834307261,0.0019073752940642957
1 João 2:1,0.003531003531003531,0.0403963626815471,0.0010108839947706024
Mateus 1:21,0.002904002904002904,0.04023597742187131,0.0007834970410186543
Filipenses 3:9,0.003465003465003465,0.04011566325553186,0.0007095212570205828
João 5:24,0.002541002541002541,0.0399364928009554,0.00014913045329465786
Romanos 8:3,0.003003003003003003,0.03969000801457434,0.00035012863234913514
Zacarias 13:7,0.00528000528000528,0.039589520931814795,0.0034794864586573126
1 João 1:1,0.0022770022770022768,0.039533911738053734,0.00038597428917572853
João 4:14,0.002673002673002673,0.03952984416206369,0.0003450328686313576
Filipenses 2:9,0.0034980034980034978,0.039456140761087895,0.0003990345812888349
Romanos 2:7,0.003432003432003432,0.03932918681249011,0.0005585476882323616
1 João 3:2,0.002739002739002739,0.03926207092885287,0.0003044684819982148
1 Pedro 1:21,0.002838002838002838,0.03925781533547568,0.00024964893876485355
Romanos 8:1,0.002508002508002508,0.039066997302813926,0.00031357558924895293
Apocalipse 3:21,0.002772002772002772,0.03897840889679715,0.0005094336466183715
1 Coríntios 6:11,0.003234003234003234,0.03877472456385674,0.0005153792190351948
Mateus 25:31,0.003102003102003102,0.038723527242485664,0.00033977496401346166
Apocalipse 1:7,0.002937002937002937,0.03843753613933273,0.0006207385090795389
Colossenses 3:3,0.002706002706002706,0.038331750333330084,0.0003934783691506035
Hebreus 1:8,0.002409002409002409,0.03791943955779804,0.0005124524694875412
Mateus 6:13,0.00495000495000495,0.03782733935413353,0.002518313032398896
Tiago 2:5,0.005148005148005148,0.03770376493818629,0.0017289861847116122
Gênesis 49:10,0.004455004455004455,0.037462514492793156,0.002533142978749208
Apocalipse 12:9,0.005082005082005082,0.03737926676918667,0.0022665267410654547
Apocalipse 2:10,0.003663003663003663,0.037310375739815806,0.0010118673907694143
Mateus 28:19,0.003333003333003333,0.03727579773218411,0.0006624034429957263
Judas 1:24,0.003234003234003234,0.03725057410840322,0.0006375914590436784
Romanos 8:29,0.002937002937002937,0.03724244497203097,0.00038242845527758503
Lucas 4:18,0.00363000363000363,0.03723526931608797,0.001300136379025777
Marcos 16:15,0.003102003102003102,0.037201221938689626,0.0006583960133736732
Romanos 5:2,0.002904002904002904,0.03700243237431946,0.00031529742961185355
João 14:9,0.0017490017490017489,0.03690399117164026,0.00019486952260846507
